"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3472","Check My articles @PO","chromium","2025-12-28","passed","2025-12-28","Логин","PageObjects_tests\articleCreate.spec.js","",""
"","7400","Delete My articles @PO","chromium","2025-12-28","passed","2025-12-28","Логин","PageObjects_tests\deleteARticle.spec.js","",""
"","2543","Edit Profile","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\editProfile.spec.js","",""
"","2746","Check My articles","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\articleCreate.spec.js","",""
"","2889","New Article @PO","chromium","2025-12-28","passed","2025-12-28","Логин","PageObjects_tests\articleCreate.spec.js","",""
"","3190","Delete My articles","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\deleteARticle.spec.js","",""
"","4727","Like article from tags","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\likeArticle.spec.js","",""
"","2900","Edit Profile @PO","chromium","2025-12-28","passed","2025-12-28","Логин","PageObjects_tests\editProfile.spec.js","",""
"","2802","Edit My articles","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\editArticle.spec.js","",""
"","5497","Like article from tags @PO","chromium","2025-12-28","passed","2025-12-28","Логин","PageObjects_tests\likeArticle.spec.js","",""
"","7987","Edit My articles @PO","chromium","2025-12-28","failed","2025-12-28","Логин","PageObjects_tests\editArticle.spec.js","",""
"","2250","New Article","chromium","2025-12-22","passed","2025-12-22","Логин","PageObjects_tests\articleCreate.spec.js","",""
